index,name,price,Promotion Price,Available
0,PnP UHT Full Cream Milk 6 x 1L,R94.99,No promotion available,True
1,Koo Baked Beans in Tomato Sauce 410gr,R16.99,Buy Any 2 For R30.00 (Smart Price),True
2,Kellogg's Noodles Chicken 5 x 70g,R36.99,Buy Any 5 For R100.00 (Smart Price),True
3,PnP Brown Sugar 2kg,R46.99,No promotion available,True
4,Sunlight Regular Degreasing Dishwashing Liquid Detergent Refill 750ml,R29.99,Buy 2 For R50.00 (Smart Price),True
5,Brookes Oros 2L,R44.99,Buy Any 2 For R70.00 (Smart Price),True
6,Kellogg's Noodles Durban Curry 5 Pack,R36.99,Buy Any 5 For R100.00 (Smart Price),True
7,No Name Live Well Shredded Tuna in Salt Water 170g,R21.99,Buy Any 2 For R38.00 (Smart Price),True
8,Lay's Salted Potato Chips 120g,R22.99,Buy Any 2 For R38.00 (Smart Price),True
9,Coca-Cola Plastic 2L,R26.99,Smart Price: R21.99,True
10,Kellogg's Noodles Beef 5s,R36.99,Buy Any 5 For R100.00 (Smart Price),True
11,Nescafe Ricoffy Pouch 800g,R139.99,Buy 2 For R210.00 (Smart Price),True
12,All Gold Tomato Sauce 700ml,R38.99,Smart Price: R32.99,True
13,No Name Macaroni Pasta 500g,R15.99,Buy Any 2 For R28.00,True
14,PnP 2 Ply White Toilet Paper 18 Pack,R129.99,Smart Price: R119.99,True
15,PnP White Sugar 2.5kg,R62.99,No promotion available,True
16,Beigel & Beigel Traditional Pretzels 500g,R25.00,No promotion available,True
17,Sunlight Original Dishwashing Liquid 750ml,R37.99,No promotion available,True
18,No Name Pasta Spaghetti 500g,R15.99,Buy Any 2 For R28.00,True
19,Pepsi Max Plastic Bottle 2L,R17.99,Buy Any 2 For R28.00 (Smart Price),True
20,PnP Pork Pack,R52.99/kg,No promotion available,True
21,Black Cat Smooth Peanut Butter 400g,R51.99,Smart Price: R38.99,True
22,Nescafe Classic Coffee 200g,R124.99,Smart Price: R109.99,True
23,Oreo Original Biscuits 128g,R18.99,Buy Any 2 For R30.00 (Smart Price),True
24,Kellogg's Noodles Cheese 5s,R36.99,Buy Any 5 For R100.00 (Smart Price),True
25,Spekko Rice Parboiled 2kg,R39.99,No promotion available,True
26,Lay's Thai Sweet Chilli Flavoured Potato Chips 120g,R22.99,Buy Any 2 For R38.00 (Smart Price),True
27,Jacobs Kronung Instant Coffee 200g,R174.99,No promotion available,True
28,PnP 2 Ply White Facial Tissues 180 Pack,R33.99,Smart Price: R24.99,True
29,Brutal Fruit Ruby Apple Spritzer 6 x 275ml,R89.99,No promotion available,True
30,Stork Country 40% Fat Spread 1kg,R44.99,No promotion available,True
31,Kellogg's Corn Flakes 750g,R69.99,No promotion available,True
32,Humpty Dumpty Large Eggs 30 Pack,R102.99,No promotion available,True
33,Tastic Rice 2kg,R46.99,No promotion available,True
34,Nescafe Gold Original Cappuccino 10 Sachets,R79.99,Buy Any 2 For R110.00 (Smart Price),True
35,Lay's Sweet & Smoky American Bbq Flavoured Potato Chips 120g,R22.99,Buy Any 2 For R38.00 (Smart Price),True
36,Danone Ultra Mel Vanilla Flavoured Custard 1L,R35.99,Buy Any 2 For R50.00 (Smart Price),True
37,Bakers Tennis Biscuits 200g,R24.99,"Buy Any 2, Save 20% (Smart Price)",True
38,No Name Straight Cut Frying Potato Chips 1kg,R44.99,No promotion available,True
39,No Name Frozen Chicken Braaipack 5kg,R244.99,Buy 2 For R350.00,True
40,Nescafe Ricoffy Coffee 750g,R169.99,No promotion available,True
41,Domestos Lemon Multipurpose Stain Removal Thick Bleach Cleaner 750ml,R34.99,Smart Price: R28.99,True
42,PnP Egte Braai Griller,R64.99/kg,No promotion available,True
43,Nestle Cremora Creamer 750g,R66.99,No promotion available,True
44,Cadbury Astros 40g,R15.99,Buy Any 2 For R24.00 (Smart Price),True
45,Tuffy Budget Black Refuse Bags 750mm x 950mm 20 Pack,R44.99,No promotion available,True
46,Crosse & Blackwell Mayonnaise 750g,R47.99,Smart Price: R36.99,True
47,Knorr Aromat Original All Purpose Seasoning Spice Trio Refill 200g,R36.99,No promotion available,True
48,Baby Soft 2Ply Fresh White Toilet Paper 24 Pack,R221.99,No promotion available,True
49,Clover UHT Full Cream Long Life Milk 6 x 1L,R99.99,No promotion available,True
50,PnP Sunflower Oil 2L,R79.99,No promotion available,True
51,Jungle Oats 1kg,R54.99,No promotion available,True
52,Nola Original Mayonnaise 750g,R42.99,No promotion available,True
53,Knorr Cream of Mushroom Thickening Soup 50g,R8.99,No promotion available,True
54,Simba NikNaks Cheese Flavoured Maize Snack 135g,R15.99,No promotion available,True
55,PnP Cabbage Head,R16.99,No promotion available,True
56,Freshpak Rooibos Tagless Tea Bags 80 Pack,R52.99,No promotion available,True
57,Sea Harvest Fish Fingers 600g,R80.99,Smart Price: R59.99,True
58,All Gold Super Fine Apricot Jam 900g,R46.99,Smart Price: R33.99,True
59,Domestos Whitening Multipurpose Stain Removal Thick Bleach Cleaner 750ml,R34.99,Smart Price: R28.99,True
60,PnP White Hot Dog Rolls 8 Pack,R19.99,No promotion available,True
61,Lay's Spring Onion & Cheese Flavoured Potato Chips 120g,R22.99,Buy Any 2 For R38.00 (Smart Price),True
