index,name,price,promotion_price,retailer,image_url
0,Clover Full Cream Milk 6 x 1L,R119.99,R99.99,Checkers,https://www.checkers.co.za/medias/checkers300Wx300H-medias-10392555PK1-en-shopriteGlobalProductCatalog-20240930030253.png?context=bWFzdGVyfGltYWdlc3w5MTgzMXxpbWFnZS9wbmd8aW1hZ2VzL2g5Yy9oNDcvMTEyODY3NDI5OTA4NzgucG5nfGQxYzQzNzAwMDYyNzgwYjBiNDEzN2JkNDg3NjM3MzNjMzBkYTFlMjY5YTVjNGRkYmQ2N2Q1NzFkNzI2OTc5YTA
1,Sunbake White Bread 700g,R18.99,R14.99,Checkers,https://www.checkers.co.za/medias/10136574EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w1Nzg4NnxpbWFnZS9wbmd8aW1hZ2VzL2g0NC9oMTkvMTA4OTA0NjM4MDU0NzAucG5nfDM2MTgyMDVhNTkwZWI5NTdkNjkyOGY5YzhlZTg2NTI5ODFhMmNjMjZiYTk3MjA0NjMzYjhmM2FiZTIzNWQ5ODM
2,Albany Superior Sliced White Bread Loaf 700g,R19.99,R17.99,Checkers,https://www.checkers.co.za/medias/10136301EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w1NjExOXxpbWFnZS9wbmd8aW1hZ2VzL2g3Yy9oZjQvMTA3NDM4MDE3NzQxMTAucG5nfDkxMzY0Yjg4ZDI2OTg5MmZjYzYxNzA3ZDczNjA4YmI4ZDU5ZTQ5YzQyM2U3ZmU4NWYwN2FhMzNkYzExMDA4MGE
3,White Hamburger Roll Single,R2.99,No promo,Checkers,https://www.checkers.co.za/medias/10151456EAv1-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w3NTEwM3xpbWFnZS9wbmd8aW1hZ2VzL2hkZC9oNTQvOTU0MzExMjA5NzgyMi5wbmd8YzQ0ODZkOGNmNGJiMTdkYjRhOWIwMTc4ZTE0NDZmOGM5OGIyMzA3NTVmMDA5N2E2NDBlYzE2ZWMxZGQzM2MyZA
4,White Hot Dog Roll Single Single,R2.99,No promo,Checkers,https://www.checkers.co.za/medias/10151458EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w1MjA2OXxpbWFnZS9wbmd8aW1hZ2VzL2g3ZC9oODYvOTk0NTM3ODA5NTEzNC5wbmd8YmZkYWIyMzQ3ODRjYTdjOGY0NDlhYjQyMTYzZTNiMzI1OGE0MDg3MmE4NTNkODdmOWUyNzhlMmI2N2MwMWZjNA
5,Checkers Housebrand Fresh Full Cream Milk 2L,R35.99,R29.99,Checkers,https://www.checkers.co.za/medias/10164636EA-20190726-Media-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w0MDM4NnxpbWFnZS9wbmd8aW1hZ2VzL2gxMS9oYWIvODg1ODA5NTU4MzI2Mi5wbmd8YTYxY2ZkNjAzOTg2NGVmNGMxODVjNmRkNTAyYmYzOWM2ZDU0MzgyYzk3YjM2YWUzOTRkMGEwOWE0NmVjMDQ0NA
6,Bananas Bag (Small),R24.99,No promo,Checkers,https://www.checkers.co.za/medias/10148833EAV2-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w3NTU3NnxpbWFnZS9wbmd8aW1hZ2VzL2g1OC9oNzIvODk1NjY5NjQ2MTM0Mi5wbmd8N2YyZmMxMjA5ZjkxZjkzZWExN2E2MGE1ZTZiZjI0M2FkMDcxZTVlMzY0ZjAzOTRjMjAzNzRjYWQ5Yzk4NjZkNQ
7,English Cucumber Single,R16.99,No promo,Checkers,https://www.checkers.co.za/medias/10145817EAv2-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyMjg5MXxpbWFnZS9wbmd8aW1hZ2VzL2g5NC9oZGQvOTU3NjU5MjczNjI4Ni5wbmd8Zjc5OWNiOWQ5YTY0MmJiZmVmNmE1M2QxNzk4NDg0NDZhYTcwNzQwMDYyMGJmMGYyYTY1YmVkZjFhMjdiNzBiMA
8,Blue Ribbon Classic White Bread 700g,R19.99,No promo,Checkers,https://www.checkers.co.za/medias/10151065EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w2MzY1OXxpbWFnZS9wbmd8aW1hZ2VzL2g3Mi9oNzIvMTAwNDcxMzUyMTk3NDIucG5nfDczMDM0Mzg3OTJjZjExMjU0ODI0NjIyZTg1NDVmZjk3NjY1NzU4NDQ4MmVkYjI2Mzg4NDM5N2E2NWZiMzNjNmU
9,Bulk Banana Pack 1.2kg,R39.99,No promo,Checkers,https://www.checkers.co.za/medias/10147193EAV2-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w2MDk2M3xpbWFnZS9wbmd8aW1hZ2VzL2g4Zi9oNTUvODk1NjcwODIyNTA1NC5wbmd8YmFkMTgzZDFkNGRiY2ViMzU4MjNhMGY0ZmM1OTgyY2U4NTY5MGZiZWI5ZTMzNjE1ZTNkY2Q1YzAwY2JhZTgyYw
