name,price
ASTIR Praline Chocolate Balls 100g,R44.99
Blue Ribbon Toaster White Bread 700g,R18.99
Darling Fresh Full Cream Milk Sachet 1L,R15.49
Blue Ribbon Sliced White Bread 700g,R19.99
Standard White Bread 600g,R11.99
Farmbest Fresh Chicken Braai Pack 5 Piece Per kg,R54.99  Per Kg
Fresh Bakery Panini Roll,R4.99
Farmbest Fresh Chicken Braai Pack 650g,R34.99
Coca-Cola Original Less Sugar Soft Drink Bottle 2L,R19.99
Caress Regular Maxi Sanitary Pads 8 Pack,R5.00
County Fair Frozen Chicken Mixed Portions With Brine Based Mixture 5kg,R239.99
Crystal Valley Full Cream Milk 1L,R12.99
Farmer's Choice Frozen Mixed Chicken Portions With Brine Based Mixture 5kg,R229.99
Ritebrand Pasta Macaroni 500g,R12.99
Nulaid Large Eggs 18 Pack,R54.99
Albany Everyday Sliced White Bread Loaf 700g,R15.99
KOO Baked Beans in Tomato Sauce 400g,R16.99
Ritebrand White Sugar 2kg,R44.99
Darling Amasi Maas Bottle 2L,R36.99
Castle Lager Beer Bottle 750ml,R19.99
