index,name,price,promotion_price,retailer,image_url
0,Baby Soft 2 Ply Fresh White Toilet Paper Roll 18 Pack,R169.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Baby_Soft_2_Ply_Fresh_White_Toilet_Paper_Roll_18_Pack.jpg?
1,Coca-Cola Original Less Sugar Soft Drink Bottle 2L,R27.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Coca-Cola_Original_Less_Sugar_Soft_Drink_Bottle_2L.jpg?
2,Coca-Cola Original Less Sugar Soft Drink Bottle 1.5L,R22.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Coca-Cola_Original_Less_Sugar_Soft_Drink_Bottle_1.5L.jpg?
3,Albany Superior Sliced White Bread Loaf 700g,R19.99,R17.99,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Albany_Superior_Sliced_White_Bread_Loaf_700g.jpg?
4,Oros Orange Flavoured Concentrated Squash 2L,R48.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Oros_Orange_Flavoured_Concentrated_Squash_2L.jpg?
5,White Hamburger Roll Single,R2.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_White_Hamburger_Roll_Single.jpg?
6,White Hot Dog Roll Single Single,R2.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_White_Hot_Dog_Roll_Single_Single.jpg?
7,Corn Flakes Cereal 1kg,R79.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Corn_Flakes_Cereal_1kg.jpg?
8,Doritos Sweet Chilli Pepper Flavoured Corn Chips 145g,R23.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Doritos_Sweet_Chilli_Pepper_Flavoured_Corn_Chips_145g.jpg?
9,Dewfresh Fresh Full Cream Milk 2L,R36.99,R29.99,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Dewfresh_Fresh_Full_Cream_Milk_2L.jpg?
10,Jacobs Krönung Freeze Dried Instant Coffee 200g,R189.99,No promo,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Jacobs_Kronung_Freeze_Dried_Instant_Coffee_200g.jpg?
11,Sunlight Lemon 100 Original Dishwashing Liquid 1.5L,R72.99,R59.99,Checkers,https://sfnavipqilqgzmtedfuh.supabase.co/storage/v1/object/public/product_images/checkers/checkers_image_Sunlight_Lemon_100_Original_Dishwashing_Liquid_1.5L.jpg?
